0802040AIAAAAAA,0801050CUAAAAAA
0802040AIBBAAAA,0801050CUBBAAAA
0802040AIAAABAB,0801050CUAAABAB
0802040AIBBABAB,0801050CUBBABAB
0407020A0BYAGCB,0407020A0BYAMBX
0407020A0BYAHCC,0407020A0BYANBZ
0407020A0BYAICD,0407020A0BYAPAZ
0407020A0BYAJCE,0407020A0BYAQBY
0407020A0BYAKCF,0407020A0BYARCH
0407020A0BYALCG,0407020A0BYASBB
1106000ADBEAAAA,1106000ADBEABAC
0301011ABBBAAA0,0302000AABBAAAA
0301011ABAAABAB,0302000AAAAABAB
0301011ABBBACAB,0302000AABBABAB
0301011ABAAAAAA,0302000AAAAACAC
0301011ABBBABAA,0302000AABBACAC
190205500BCQRA0,190205500BDAAAL
0301011R0CBAAAX,0301011R0CBACCD
0301011R0CBABBD,0301011R0CBADCE
0407020AHAAAAAA,0407020AGAAAJAJ
0407020AHBBAAAA,0407020AGBGAAAJ
0407020AHAAABAB,0407020AGAAAKAK
0407020AHBBABAB,0407020AGBGABAK
0407020AHAAACAC,0407020AGAAALAL
0407020AHBBACAC,0407020AGBGACAL
0407020AHAAADAD,0407020AGAAAMAM
0407020AHBBADAD,0407020AGBGADAM
0407020AHAAAEAE,0407020AGAAANAN
0407020AHBBAEAE,0407020AGBGAEAN
0501013K0BBAMAK,0501013K0BBAQAP
0802040BAAAAAAA,0801050CVAAAAAA
0802040BABBAAAA,0801050CVBBAAAA
0802040BAAAABAB,0801050CVAAABAB
0802040BABBABAB,0801050CVBBABAB
1108010AAAAAIAI,1104020AEAAACAC
1108010AAAAAHAH,1104020AEAAADAD
1108010AAAAAAAA,1104020AEAAAEAE
1108010AAAAALAL,1104020AEAAAFAF
1108010AAAAACAC,1104020AEAAAGAG
1108010AAAAAJAJ,1104020AEAAAHAH
1108010AAAAARAR,1104020AEAAAIAI
1108010AAAAAMAM,1104020AEAAAJAJ
1108010AABCAAAM,1104020AEBEAAAJ
1404000L0BGAAAF,1404000L0BEADAF
090900000AABJBJ,091200000AAGDGD
090900000BBBCBJ,091200000BFXYGD
0913011W0AAAEAE,0913011Y0AAAAAA
0913011W0BDAAAE,0913011Y0BBAAAA
0913011N0AAALAL,0913011Z0AAAAAA
0913011N0BFACAL,0913011Z0BBAAAA
0913011N0BFADAL,0913011Z0BBABAA
0913061D0AAAAAA,0913061A0AAAAAA
0913061D0BBAAAA,0913061A0BBAAAA
0913391C0AAAAAA,0913141A0AAACAC
0913391C0BBAAAA,0913141A0BCAAAC
0913391C0AAABAB,0913141A0AAADAD
0913391C0BCAAAB,0913141A0BDAAAD
0913161B0AAAFAF,0913161A0AAAGAG
0913161B0BBAAAF,0913161A0BGAAAG
0913181D0AAABAB,0913181Q0AAAAAA
0913181D0BBAAAB,0913181Q0BBAAAA
0913261M0AAADAD,0913261K0AAAFAF
0913261M0BBAAAD,0913261K0BCANAF
0913011Q0AAAAAA,0913311H0AAABAB
0913011Q0BCAAAA,0913311H0BCAAAB
0913011D0AAAEAE,0913311J0AAAAAA
0913011D0BDAAAE,0913311J0BBAAAA
0913171A0AAAAAA,0913421B0AAAAAA
0913171A0BBAAAA,0913421B0BBAAAA
0913261I0AAADAD,0913451L0AAAAAA
0913261I0BCAAAD,0913451L0BBAAAA
0913411A0AAABAB,0913461D0AAAEAE
0913411A0BDAAAB,0913461D0BDABAE
0913411A0BEAAAB,0913461D0BEAAAE
0913411A0BCAAAB,0913461D0BFAAAE
0913271A0AAAZAZ,0913461E0AAALAL
0913271A0BGAAAZ,0913461E0BEACAL
0913271B0AAAPAP,0913461H0AAAUAU
0913271B0BFAAAP,0913461H0BIAAAU
0913271B0AAAQAQ,0913461H0AAAVAV
0913271B0BFABAQ,0913461H0BIABAV
0913271B0AAARAR,0913461H0AAAWAW
0913271B0BFACAR,0913461H0BIACAW
090900000AABKBK,0913511A0AAAFAF
090900000BBLUBK,0913511A0BBADAF
0904010AWAAAAAA,0913611A0AAAAAA
0913205S0AAABAB,0913621G0AAAAAA
0913205S0BBABAB,0913621G0BBAAAA
0913041A0AAAAAA,0913641A0AAAAAA
0913041A0BBAAAA,0913641A0BBAAAA
0913238A0AAABAB,0913701A0AAAAAA
0913238A0BBABAB,0913701A0BBAAAA
0914011C0AAAEAE,0914011D0AAABAB
0914011C0BBACAE,0914011D0BCAAAB
0914011C0AAAFAF,0914011D0AAACAC
0914011C0BDABAF,0914011D0BDAAAC
0914011L0AAAAAA,0914011J0AAADAD
0914011L0BBAAAA,0914011J0BDAAAD
0914011L0AAABAB,0914011J0AAAEAE
0914011L0BCAAAB,0914011J0BCABAE
0914011N0AAABAB,0914011P0AAAAAA
0914011N0BBAAAB,0914011P0BBAAAA
0914011E0AAAAAA,0914011Q0AAAAAA
0914011E0BBAAAA,0914011Q0BBAAAA
090402000BBGLA0,0914061A0BCAAAB
090401000BBKNA0,0110010A0BBAAAA
0913171B0AAAAAA,0913421A0AAABAB
0913171B0BBAAAA,0913421A0BCAAAB
0913106A0AAAAAA,0913662A0AAAAAA
0913106A0BBAAAA,0913662A0BBAAAA
0913261J0AAAGAG,0913451J0AAAAAA
0913261J0BFAAAG,0913451J0BBAAAA
0914081A0AAAAAA,0914051B0AAAAAA
0914081A0BBAAAA,0914051B0BBAAAA
0913171A0AAABAB,0913421B0AAABAB
0913171A0BBABAB,0913421B0BBABAB
