0802040ATAAABAB,0801050CXAAAAAA
0802040ATBBABAB,0801050CXBBAAAA
0802040ATBCAAAB,0801050CXBCAAAA
0802040ATAAACAC,0801050CXAAABAB
0802040ATBBACAC,0801050CXBBABAB
0802040ATAAAAAA,0801050CXAAACAC
0802040ATBBAAAA,0801050CXBBACAC
0802040ATBCABAA,0801050CXBCABAC
0906040G0BWBHCB,0906040G0BWBNFP
0906031C0BNADAN,0906031C0BNAECC
0602010M0BIAABB,0602010M0BIABBC
1203010F0BBABAA,1203010F0BBAEAC
030902000BEDKA0,030902000BGAABC
130201000BBMJBW,130201000BBMKA0
0409030S0AAAAAA,0908010AVAAAAAA
0409030S0BBAAAA,0908010AVBBAAAA
0302000C0AABYBY,0302000ABAAAAAA
0302000C0BRAABY,0302000ABBBAAAA
0302000C0AABXBX,0302000ABAAABAB
0302000C0BQAABX,0302000ABBCAAAB
0302000C0BWAABX,0302000ABBDAAAB
0302000C0BYAABX,0302000ABBEAAAB
0302000C0BUAABX,0302000ABBFAAAB
0302000C0BXAABX,0302000ABBGAAAB
0302000C0AACACA,0302000ABAAACAC
0302000C0BRABCA,0302000ABBBABAC
0302000C0AABZBZ,0302000ABAAADAD
0302000C0BQABBZ,0302000ABBCABAD
0302000C0BWABBZ,0302000ABBDABAD
0302000C0BYABBZ,0302000ABBEABAD
0302000C0BUABBZ,0302000ABBFABAD
0302000C0BXABBZ,0302000ABBGABAD
0913271C0AAAXAX,0913461C0AABDBD
0913271C0BJAAAX,0913461C0BBADBD
0913271B0AAAAAA,0913461H0AAAXAX
0913271B0BBAAAA,0913461H0BBADAX
0913271B0AAABAB,0913461H0AAAYAY
0913271B0BBABAB,0913461H0BBAEAY
0913271A0AAAAAA,0913461E0AAAMAM
0913271A0BBAAAA,0913461E0BBABAM
0913271A0AAABAB,0913461E0AAANAN
0913271A0BBABAB,0913461E0BBACAN
0913261R0AAADAD,0913451H0AAAEAE
0913261R0BDABAD,0913451H0BDAAAE
0913261R0AAABAB,0913451H0AAAFAF
0913261R0BDAAAB,0913451H0BDABAF
0913261F0AAAAAA,0913451I0AAACAC
0913261F0BBAAAA,0913451I0BDAAAC
0913261G0AAAFAF,0913451D0AAABAB
0913261G0BFAAAF,0913451D0BCAAAB
0913261E0AAACAC,0913451C0AAABAB
0913261E0BEAAAC,0913451C0BCAAAB
0913261K0AAADAD,0913451F0AAABAB
0913261K0BEAAAD,0913451F0BCAAAB
0913271C0AAAUAU,0913461C0AABDBE
0913271C0BIAAAU,0913461C0BJAABE
0913271C0AAAVAV,0913461C0AABFBF
0913271C0BIABAV,0913461C0BJABBF
0913271C0AAAWAW,0913461C0AABGBG
0913271C0BIACAW,0913461C0BJACBG
0913011S0AAAGAG,0913311K0AAAAAA
0913011S0BBACAG,0913311K0BBAAAA
0913011S0AAABAB,0913311K0AAABAB
0913011S0BBADAB,0913311K0BBABAB
0913271C0AAASAS,0913461C0AABHBH
0913271C0BHAAAS,0913461C0BKAABH
0913011N0AAADAD,0913311D0AAACAC
0913011N0BIADAD,0913311D0BDAAAC
090402000BBKGA0,0913311D0BDABAC
0913011N0BIAAAD,0913311D0BDACAC
0913011N0BIAEAD,0913311D0BDADAC
0913011N0BIABAD,0913311D0BDAEAC
0913011N0BIACAD,0913311D0BDAFAC
0913205D0AAABAB,0913621H0AAAAAA
0913205D0BBAEAB,0913621H0BBAAAA
0913206A0AAABAB,0913622A0AAAAAA
0913206A0BBABAB,0913622A0BBAAAA
0913271A0AAAPAP,0913461E0AAAPAP
0913271A0BEAAAP,0913461E0BHAAAP
0913271A0AAAQAQ,0913461E0AAAQAQ
0913271A0BEABAQ,0913461E0BHABAQ
0913271B0BDAAAH,0913271B0BCAFAH
0913011C0AAADAD,0913311L0AAAAAA
0913011C0BGAAAD,0913311L0BBAAAA
0913011C0BGABAD,0913311L0BBABAA
0913011C0BGACAD,0913311L0BBACAA
0913011C0BGADAD,0913311L0BBADAA
0914061A0AAABAB,0914061C0AAAAAA
0914061A0BCAAAB,0914061C0BBAAAA
0913451M0AAAAAA,0913261U0AAABAB
0913451M0BBAAAA,0913261U0BCAAAB
0913451H0AAACAC,0913261R0AAAEAE
0913451H0BEAAAC,0913261R0BFAAAE
0913451H0AAADAD,0913261R0AAAFAF
0913451H0BEABAD,0913261R0BFABAF
0913371A0AAAAAA,0913361A0AAADAD
0913371A0BBAAAA,0913361A0BCAAAD
0913371A0BBABAA,0913361A0BCABAD
0913371A0AAABAB,0913361A0AAAEAE
0913371A0BCAAAB,0913361A0BDAAAE
0913661A0AAAAAA,0913351A0AAACAC
0913661A0BBAAAA,0913351A0BCAAAC
0913662A0AAAAAA,0913353A0AAABAB
0913662A0BBAAAA,0913353A0BCAAAB
050301000BBAEA0,0503010BAAAABAB
050301000BBAEA0,0503010BABBABAB
050301000BBABA0,0503010BBAAAAAA
050301000BBABA0,0503010BBBBAAAA
050301000BBACA0,0503010BDAAAAAA
050301000BBACA0,0503010BDBBAAAA
,0503010BDBBABAA
050301000BBADA0,0503010AZAAABAB
050301000BBADA0,0503010AZBBABAB
050301000BBAFA0,0503010BCAAAAAA
050301000BBAFA0,0503010BCBBAAAA
050301000BBAGA0,0503010BEAAAAAA
050301000BBAGA0,0503010BEBBAAAA
